CODE_ISIN,CODE_LANGUE
LU1530899142,FR
LU1683285164,FR
LU1694789451,FR
LU0284395638,FR
LU1907594748,FR
LU1881477472,FR
BE6297703751,FR
FR0013406691,FR
LU1819480192,FR
LU1331971769,FR
LU1345484874,FR
LU1303741661,FR
IE00BFY85L07,FR
FR0013291879,FR
LU1902443420,FR
LU1074970481,FR
LU0432979614,FR
LU0292454872,FR
FR0013268356,FR
IE00BC9S3Z47,FR
LU0812608262,FR
LU1536788638,FR
LU1670710075,FR
LU1670722161,FR
LU1670711040,FR
LU1582988058,FR
LU1670724373,FR
LU0914733059,FR
LU1670725347,FR
LU1278756934,FR
LU1648217575,FR
LU1693821826,FR
LU1958314913,FR
LU2108470142,FR
LU1648219605,FR
LU0149084633,FR
LU1648217229,FR
FR0011600410,FR
LU0935227537,FR
IE00BF2F6G53,FR
LU0823421689,FR
LU0503631714,FR
LU0366534344,FR
LU0270904781,FR
LU0366536984,FR
LU0340559557,FR
IE00B3QDMK77,FR
LU1396459015,FR
LU1183791794,FR
LU1301026388,FR
LU0503634221,FR
LU1991167542,FR
FR001400JVR0,FR
FR001400JN81,FR
LU0068578508,FR
FR0000003964,FR
IE00B7452L46,FR
LU0548153104,FR
XS2523669203,FR
LU0170475312,FR
LU2147879543,FR
FR001400LRS2,FR
FR0007072160,FR
XS2516343279,FR
FR001400IZ88,FR
FR001400JI96,FR
XS2630626989,FR
FR001400L8R7,FR
LU0569862609,FR
IE00BZ2GV965,FR
FR001400FS23,FR
IE00BYWQWR46,FR
IE00BG47K971,FR
FR0010289827,FR
FR0010078279,FR
FR0007371810,FR
FR0013299047,FR
FR0007465083,FR
FR0013379054,FR
FR0013522927,FR
FR001400IGX1,FR
FR001400IGZ6,FR
LU1612360716,FR
LU1074026086,FR
IE00BHBFD143,FR
IE00BJGWQN72,FR
LU0292109187,FR
LU1303940784,FR
FR0000423527,FR
LU0171305526,FR
LU0172157280,FR
LU0122376428,FR
FR0010027623,FR
FR0010298596,FR
LU0266117414,FR
IE0004307934,FR
LU0147944259,FR
LU0935231216,FR
IE00B44F1J46,FR
FR0000299356,FR
FR0000292302,FR
FR0011537653,FR
FR0000990095,FR
IE00B441G979,FR
LU0908500753,FR
FR0010429068,FR
FR0011363423,FR
LU1829221024,FR
FR0010361279,FR
FR0010194464,FR
FR0010540906,FR
FR0010541086,FR
FR0010541094,FR
FR0010233270,FR
FR0010541193,FR
FR0010540831,FR
FR0011482074,FR
FR0010540856,FR
FR0010241281,FR
FR0010501684,FR
FR0010541284,FR
FR0011443886,FR
FR0010541425,FR
FR0010148346,FR
FR0007051040,FR
FR001400JLJ8,FR
FR001400JOE3,FR
FR0012333219,FR
FR0010058529,FR
LU0469266505,FR
FR0011387299,FR
LU0469268469,FR
FR0013085024,FR
FR0007061379,FR
FR0010829697,FR
FR0013251816,FR
LU0658026942,FR
FR0013222403,FR
FR0010158048,FR
FR0010863688,FR
FR0011637115,FR
FR0012951101,FR
FR0011153014,FR
FR0000438905,FR
FR0012817567,FR
FR0010028704,FR
FR0013430576,FR
FR0000448953,FR
FR0013300910,FR
FR0000974149,FR
LU1883335322,FR
LU1781541252,FR
LU1437017350,FR
IE000QQ8Z0D8,FR
IE0006IP4XZ8,FR
LU0568620990,FR
FR0010286013,FR
FR0011199371,FR
FR0010611293,FR
FR001400I103,FR
LU1536921650,FR
FR0000979155,FR
LU0658026603,FR
FR0000978371,FR
LU1157401305,FR
LU0251661756,FR
LU0164100710,FR
LU1876459212,FR
FR0000288946,FR
LU0132414144,FR
IE00B8J38129,FR
LU0119133188,FR
LU0568615057,FR
LU0518421895,FR
LU0616241476,FR
LU0119099819,FR
LU0201576401,FR
LU0119110723,FR
LU0319688015,FR
LU0800597873,FR
LU0292585626,FR
LU0266009793,FR
LU0292585030,FR
XS2604959093,EN
XS2604959176,EN
FR001400KAV4,EN
LU2597550263,EN
LU2578823499,EN
FR001400IQ71,EN
